benchmark,onnx_file,vnnlib_file,ground_truth,n_sat,n_unsat,n_timeout,n_unknown,n_error,dissenting_tools,source_tools
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_3.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_4.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat"
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,unsat,0,6,0,0,2,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,sobolbox"
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,7,0,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_3.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_4.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,sat,6,1,1,0,0,sobolbox,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_3.vnnlib,unsat,0,5,1,2,0,,"alpha_beta_crown,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_4.vnnlib,unsat,0,6,1,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover"
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,sat,7,0,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,sat,5,0,2,1,0,,"alpha_beta_crown,cora,neuralsat,nnenum,rover"
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_4.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,sat,7,0,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_3.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_4.vnnlib,unsat,0,8,0,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,nnv,pyrat,rover,sobolbox"
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,unsat,0,7,1,0,0,,"alpha_beta_crown,cora,neuralsat,nnenum,pyrat,rover,sobolbox"
