benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_1.vnnlib,ERROR,4.41,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:13.330912+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,ERROR,4.43,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:21.826400+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_1.vnnlib,ERROR,4.14,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:29.931524+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_1.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:38.019783+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,ERROR,4.25,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:46.262875+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_1.vnnlib,ERROR,4.08,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:08:54.334931+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_1.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:02.511935+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_1.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:10.624013+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_1.vnnlib,ERROR,4.14,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:19.239172+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_1.vnnlib,ERROR,4.20,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:27.525219+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_1.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:35.640608+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_1.vnnlib,ERROR,4.31,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:43.849472+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,ERROR,4.23,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:09:51.985482+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_1.vnnlib,ERROR,4.12,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:00.223313+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,ERROR,4.09,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:08.201970+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_1.vnnlib,ERROR,4.17,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:16.340050+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_1.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:24.319347+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:32.329281+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_1.vnnlib,ERROR,4.26,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:40.744232+00:00
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,ERROR,4.14,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:48.945022+00:00
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_1.vnnlib,ERROR,4.22,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:10:57.173229+00:00
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,ERROR,4.09,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:05.288791+00:00
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,ERROR,4.14,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:13.413073+00:00
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,ERROR,4.10,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:21.423731+00:00
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_1.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:29.393459+00:00
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_1.vnnlib,ERROR,4.10,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:37.409022+00:00
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_1.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:45.430250+00:00
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,ERROR,4.34,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:11:53.679044+00:00
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_1.vnnlib,ERROR,4.08,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:01.760265+00:00
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_1.vnnlib,ERROR,4.35,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:10.109287+00:00
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_1.vnnlib,ERROR,4.26,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:18.273300+00:00
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,ERROR,4.05,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:26.256075+00:00
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_1.vnnlib,ERROR,4.10,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:34.285553+00:00
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx,prop_1.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:42.263362+00:00
acasxu_2023,ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,ERROR,4.31,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:50.475981+00:00
acasxu_2023,ACASXU_run2a_4_9_batch_2000.onnx,prop_1.vnnlib,ERROR,4.33,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:12:58.820249+00:00
acasxu_2023,ACASXU_run2a_5_1_batch_2000.onnx,prop_1.vnnlib,ERROR,4.14,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:06.924917+00:00
acasxu_2023,ACASXU_run2a_5_2_batch_2000.onnx,prop_1.vnnlib,ERROR,4.26,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:15.126908+00:00
acasxu_2023,ACASXU_run2a_5_3_batch_2000.onnx,prop_1.vnnlib,ERROR,4.09,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:23.112053+00:00
acasxu_2023,ACASXU_run2a_5_4_batch_2000.onnx,prop_1.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:31.102867+00:00
acasxu_2023,ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,ERROR,4.22,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:39.229070+00:00
acasxu_2023,ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,ERROR,4.09,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:47.227349+00:00
acasxu_2023,ACASXU_run2a_5_7_batch_2000.onnx,prop_1.vnnlib,ERROR,4.21,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:13:55.459784+00:00
acasxu_2023,ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,ERROR,4.17,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:03.630966+00:00
acasxu_2023,ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,ERROR,4.53,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:12.069802+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,ERROR,4.40,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:20.357439+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,ERROR,4.32,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:28.581481+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:36.594043+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,ERROR,4.07,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:44.558561+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,ERROR,4.33,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:14:52.798650+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,ERROR,4.32,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:01.027065+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,ERROR,4.10,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:09.023207+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,ERROR,4.09,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:17.019409+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,ERROR,4.19,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:25.130815+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:33.366942+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_2.vnnlib,ERROR,4.31,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:41.711988+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_2.vnnlib,ERROR,4.11,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:49.843612+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,ERROR,4.20,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:15:58.086909+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_2.vnnlib,ERROR,4.57,116,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-05T23:16:06.779973+00:00
