benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:55:59.136928+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:03.241466+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:07.492176+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:11.829763+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:16.002233+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:20.120729+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:24.269800+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:28.308855+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:32.349790+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:36.389655+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:40.423390+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:44.461740+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:48.606032+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:52.742058+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:56:56.776102+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:00.825952+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:05.188358+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:09.503017+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:13.588601+00:00
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:17.624151+00:00
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:21.652860+00:00
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:25.689193+00:00
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:29.734602+00:00
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:33.769278+00:00
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:37.804468+00:00
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:41.851784+00:00
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:46.015917+00:00
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:50.358503+00:00
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:54.426869+00:00
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:57:58.463375+00:00
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:02.624232+00:00
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:06.945559+00:00
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:11.200722+00:00
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:15.404407+00:00
acasxu_2023,ACASXU_run2a_4_8_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:19.434172+00:00
acasxu_2023,ACASXU_run2a_4_9_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:23.468800+00:00
acasxu_2023,ACASXU_run2a_5_1_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:27.630220+00:00
acasxu_2023,ACASXU_run2a_5_2_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:31.966949+00:00
acasxu_2023,ACASXU_run2a_5_3_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:36.162322+00:00
acasxu_2023,ACASXU_run2a_5_4_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:40.263666+00:00
acasxu_2023,ACASXU_run2a_5_5_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:44.298819+00:00
acasxu_2023,ACASXU_run2a_5_6_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:48.337071+00:00
acasxu_2023,ACASXU_run2a_5_7_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:52.432944+00:00
acasxu_2023,ACASXU_run2a_5_8_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:58:56.666721+00:00
acasxu_2023,ACASXU_run2a_5_9_batch_2000.onnx+prop_1.vnnlib,UNSAT,0.14,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:00.706397+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx+prop_2.vnnlib,UNSAT,0.15,116,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T19:59:04.941112+00:00
