benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_2perturbations_delta5_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.05,30,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:33:35.088515+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_2perturbations_delta10_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.18,30,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:33:43.171861+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_2perturbations_delta20_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.09,60,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:33:51.169521+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_2perturbations_delta40_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.18,60,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:33:59.275983+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_4perturbations_delta5_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.17,60,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:07.450869+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_4perturbations_delta10_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.14,60,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:15.557458+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_4perturbations_delta20_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.05,120,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:23.502362+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_4perturbations_delta40_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.05,120,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:31.470935+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_8perturbations_delta5_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.07,120,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:39.453717+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_8perturbations_delta10_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.08,120,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:47.438221+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx,robustness_8perturbations_delta20_epsilon10_w20.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Dropout in node dropout,2026-05-05T23:34:55.405002+00:00
