benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta5_epsilon10_w20.vnnlib,SAT,1.31,30,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:02:56.783834+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta10_epsilon10_w20.vnnlib,UNSAT,1.41,30,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:02.260706+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta20_epsilon10_w20.vnnlib,UNSAT,1.18,60,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:07.603475+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_2perturbations_delta40_epsilon10_w20.vnnlib,UNSAT,1.20,60,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:13.217481+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_4perturbations_delta5_epsilon10_w20.vnnlib,SAT,1.32,60,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:03:18.589589+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_4perturbations_delta10_epsilon10_w20.vnnlib,SAT,1.31,60,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:03:23.816718+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_4perturbations_delta20_epsilon10_w20.vnnlib,SAT,1.32,120,0.001,0.01,0.05,41471,2,0.0005,0.025,1,0.42542981842733474,0.44542981842733476,17643,,2026-05-04T20:03:29.036861+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_4perturbations_delta40_epsilon10_w20.vnnlib,SAT,1.29,120,0.001,0.01,0.05,41471,2,0.0005,0.025,1,1.0,1.02,41471,,2026-05-04T20:03:34.233602+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_8perturbations_delta5_epsilon10_w20.vnnlib,UNSAT,1.31,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:39.446099+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_8perturbations_delta10_epsilon10_w20.vnnlib,UNSAT,1.51,120,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:45.203553+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_8perturbations_delta20_epsilon10_w20.vnnlib,UNSAT,1.29,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:50.772657+00:00
collins_rul_cnn_2022,NN_rul_small_window_20.onnx+robustness_8perturbations_delta40_epsilon10_w20.vnnlib,UNSAT,1.32,300,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:03:56.005663+00:00
