benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
dist_shift_2023,mnist_concat.onnx,index7901_delta0.13.vnnlib,UNSAT,63.0,50.7,11.2,300,1.0000,4.4280,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:11:41.825639+00:00
dist_shift_2023,mnist_concat.onnx,index6323_delta0.13.vnnlib,UNSAT,61.7,49.7,11.1,300,1.0000,4.9233,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:12:52.292973+00:00
dist_shift_2023,mnist_concat.onnx,index7027_delta0.13.vnnlib,UNSAT,67.5,50.9,15.0,300,1.0000,4.8551,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:14:08.614630+00:00
dist_shift_2023,mnist_concat.onnx,index7116_delta0.13.vnnlib,UNSAT,62.4,49.9,11.1,300,0.9995,4.4972,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:15:19.859846+00:00
dist_shift_2023,mnist_concat.onnx,index1373_delta0.13.vnnlib,UNSAT,62.5,49.7,11.3,300,0.9995,4.3575,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:16:31.317713+00:00
dist_shift_2023,mnist_concat.onnx,index6957_delta0.13.vnnlib,UNSAT,67.5,50.7,15.3,300,1.0000,4.3034,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:17:47.679695+00:00
dist_shift_2023,mnist_concat.onnx,index365_delta0.13.vnnlib,UNSAT,67.1,50.7,15.0,300,0.9995,5.2107,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:19:03.818228+00:00
dist_shift_2023,mnist_concat.onnx,index8900_delta0.13.vnnlib,UNSAT,62.4,49.7,11.3,300,1.0000,4.4482,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:20:15.091898+00:00
dist_shift_2023,mnist_concat.onnx,index9733_delta0.13.vnnlib,UNSAT,67.1,54.3,11.2,300,1.0000,4.8703,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:21:31.140368+00:00
dist_shift_2023,mnist_concat.onnx,index9154_delta0.13.vnnlib,UNSAT,66.4,53.5,11.3,300,1.0000,5.2619,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:22:46.515611+00:00
dist_shift_2023,mnist_concat.onnx,index5938_delta0.13.vnnlib,UNSAT,62.7,50.2,11.0,300,1.0000,4.6434,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:23:58.057210+00:00
dist_shift_2023,mnist_concat.onnx,index8964_delta0.13.vnnlib,UNSAT,62.6,49.7,11.3,300,1.0000,4.2648,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:25:09.172812+00:00
dist_shift_2023,mnist_concat.onnx,index4665_delta0.13.vnnlib,UNSAT,66.9,50.8,15.1,300,1.0000,4.3778,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:26:25.012153+00:00
dist_shift_2023,mnist_concat.onnx,index2204_delta0.13.vnnlib,UNSAT,62.7,50.6,11.3,300,1.0000,4.6740,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:27:36.626970+00:00
dist_shift_2023,mnist_concat.onnx,index6405_delta0.13.vnnlib,UNSAT,62.5,50.2,11.1,300,1.0000,4.3584,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T07:28:47.893166+00:00
