benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
dist_shift_2023,mnist_concat.onnx,index7901_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:01.663245+00:00
dist_shift_2023,mnist_concat.onnx,index6323_delta0.13.vnnlib,NOT_APPLICABLE,4.11,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:09.674948+00:00
dist_shift_2023,mnist_concat.onnx,index7027_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:17.663512+00:00
dist_shift_2023,mnist_concat.onnx,index7116_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:25.694815+00:00
dist_shift_2023,mnist_concat.onnx,index1373_delta0.13.vnnlib,NOT_APPLICABLE,4.21,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:33.910489+00:00
dist_shift_2023,mnist_concat.onnx,index6957_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:42.032378+00:00
dist_shift_2023,mnist_concat.onnx,index365_delta0.13.vnnlib,NOT_APPLICABLE,4.20,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:50.256471+00:00
dist_shift_2023,mnist_concat.onnx,index8900_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:42:58.426393+00:00
dist_shift_2023,mnist_concat.onnx,index9733_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:06.432367+00:00
dist_shift_2023,mnist_concat.onnx,index9154_delta0.13.vnnlib,NOT_APPLICABLE,4.32,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:14.671972+00:00
dist_shift_2023,mnist_concat.onnx,index5938_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:22.672842+00:00
dist_shift_2023,mnist_concat.onnx,index8964_delta0.13.vnnlib,NOT_APPLICABLE,4.20,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:30.775678+00:00
dist_shift_2023,mnist_concat.onnx,index4665_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:38.790952+00:00
dist_shift_2023,mnist_concat.onnx,index2204_delta0.13.vnnlib,NOT_APPLICABLE,4.21,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:46.975192+00:00
dist_shift_2023,mnist_concat.onnx,index6405_delta0.13.vnnlib,NOT_APPLICABLE,4.18,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:43:55.280666+00:00
dist_shift_2023,mnist_concat.onnx,index4739_delta0.13.vnnlib,NOT_APPLICABLE,4.35,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:03.729043+00:00
dist_shift_2023,mnist_concat.onnx,index5291_delta0.13.vnnlib,NOT_APPLICABLE,4.10,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:11.811879+00:00
dist_shift_2023,mnist_concat.onnx,index5206_delta0.13.vnnlib,NOT_APPLICABLE,4.38,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:20.111090+00:00
dist_shift_2023,mnist_concat.onnx,index7329_delta0.13.vnnlib,NOT_APPLICABLE,4.50,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:28.635696+00:00
dist_shift_2023,mnist_concat.onnx,index292_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:36.740545+00:00
dist_shift_2023,mnist_concat.onnx,index1282_delta0.13.vnnlib,NOT_APPLICABLE,4.08,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:44.737105+00:00
dist_shift_2023,mnist_concat.onnx,index2251_delta0.13.vnnlib,NOT_APPLICABLE,4.09,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:44:52.748722+00:00
dist_shift_2023,mnist_concat.onnx,index1921_delta0.13.vnnlib,NOT_APPLICABLE,4.18,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:00.891447+00:00
dist_shift_2023,mnist_concat.onnx,index1285_delta0.13.vnnlib,NOT_APPLICABLE,4.39,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:09.366370+00:00
dist_shift_2023,mnist_concat.onnx,index9211_delta0.13.vnnlib,NOT_APPLICABLE,4.19,300,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: unsupported onnx op_type Gemm in node Gemm_3,2026-05-05T23:45:17.553544+00:00
