benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:23.299853+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:28.060582+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,UNSAT,0.84,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:32.801256+00:00
dist_shift_2023,mnist_concat.onnx+index7116_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:37.477782+00:00
dist_shift_2023,mnist_concat.onnx+index1373_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:42.141297+00:00
dist_shift_2023,mnist_concat.onnx+index6957_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:46.831214+00:00
dist_shift_2023,mnist_concat.onnx+index365_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:51.522937+00:00
dist_shift_2023,mnist_concat.onnx+index8900_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:09:56.193629+00:00
dist_shift_2023,mnist_concat.onnx+index9733_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:01.086666+00:00
dist_shift_2023,mnist_concat.onnx+index9154_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:06.110943+00:00
dist_shift_2023,mnist_concat.onnx+index5938_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:10.783401+00:00
dist_shift_2023,mnist_concat.onnx+index8964_delta0.13.vnnlib,UNSAT,0.83,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:15.511731+00:00
dist_shift_2023,mnist_concat.onnx+index4665_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:20.340377+00:00
dist_shift_2023,mnist_concat.onnx+index2204_delta0.13.vnnlib,UNSAT,0.75,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:25.123428+00:00
dist_shift_2023,mnist_concat.onnx+index6405_delta0.13.vnnlib,UNSAT,0.84,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:29.867095+00:00
dist_shift_2023,mnist_concat.onnx+index4739_delta0.13.vnnlib,SAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.057623996842520724,0.06762399684252073,2190,,2026-05-04T20:10:34.526639+00:00
dist_shift_2023,mnist_concat.onnx+index5291_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:39.188639+00:00
dist_shift_2023,mnist_concat.onnx+index5206_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:43.867592+00:00
dist_shift_2023,mnist_concat.onnx+index7329_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:48.557238+00:00
dist_shift_2023,mnist_concat.onnx+index292_delta0.13.vnnlib,UNSAT,0.75,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:10:53.212380+00:00
dist_shift_2023,mnist_concat.onnx+index1282_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.009235626891198527,0.019235626891198527,351,,2026-05-04T20:10:57.929108+00:00
dist_shift_2023,mnist_concat.onnx+index2251_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:02.630297+00:00
dist_shift_2023,mnist_concat.onnx+index1921_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:07.318044+00:00
dist_shift_2023,mnist_concat.onnx+index1285_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,5.2624654650703855e-05,0.010052624654650705,2,,2026-05-04T20:11:12.110862+00:00
dist_shift_2023,mnist_concat.onnx+index9211_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0062623339034337585,0.01626233390343376,238,,2026-05-04T20:11:16.839763+00:00
dist_shift_2023,mnist_concat.onnx+index1159_delta0.13.vnnlib,UNSAT,0.79,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:21.718609+00:00
dist_shift_2023,mnist_concat.onnx+index4901_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:26.588174+00:00
dist_shift_2023,mnist_concat.onnx+index1662_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:31.424924+00:00
dist_shift_2023,mnist_concat.onnx+index7606_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:36.528887+00:00
dist_shift_2023,mnist_concat.onnx+index1537_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:41.290119+00:00
dist_shift_2023,mnist_concat.onnx+index3863_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:46.164711+00:00
dist_shift_2023,mnist_concat.onnx+index6792_delta0.13.vnnlib,UNSAT,0.78,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:50.965367+00:00
dist_shift_2023,mnist_concat.onnx+index2481_delta0.13.vnnlib,UNSAT,0.76,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:11:55.815806+00:00
dist_shift_2023,mnist_concat.onnx+index9027_delta0.13.vnnlib,UNSAT,0.77,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:00.684817+00:00
dist_shift_2023,mnist_concat.onnx+index6136_delta0.13.vnnlib,UNSAT,0.81,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:05.638706+00:00
dist_shift_2023,mnist_concat.onnx+index4799_delta0.13.vnnlib,UNSAT,0.80,300,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:12:10.574055+00:00
