benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,m,ell,epsilon,coverage,coverage_empirical,coverage_n_test,confidence,cex_x,cex_y,error,timestamp
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10.vnnlib,SAT,2.6,900,8000,7999,0.001,,,0,,"[-0.7789662480354309, 0.800000011920929, -1.3253693580627441, -1.4675618410110474]","[40.478965759277344, -40.478965759277344]",,2026-05-02T12:19:04.049044+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_0.vnnlib,UNSAT,72.7,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:20:21.302558+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_1.vnnlib,UNSAT,71.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:21:37.417917+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_2.vnnlib,UNSAT,71.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:22:53.465401+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_3.vnnlib,UNSAT,72.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:24:11.284494+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_4.vnnlib,UNSAT,72.7,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:25:28.882609+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30.vnnlib,UNSAT,59.4,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:26:33.138973+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_0.vnnlib,UNSAT,59.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:27:37.259858+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_1.vnnlib,UNSAT,60.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:28:42.471114+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_2.vnnlib,UNSAT,59.3,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:29:46.604178+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_3.vnnlib,UNSAT,59.8,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:30:51.349334+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_4.vnnlib,UNSAT,60.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:31:56.476535+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80.vnnlib,UNSAT,60.8,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:33:02.154179+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_0.vnnlib,UNSAT,60.3,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:34:07.284325+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_1.vnnlib,UNSAT,60.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:35:13.268875+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_2.vnnlib,UNSAT,61.0,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:36:19.176247+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_3.vnnlib,UNSAT,60.5,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:37:24.524390+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_4.vnnlib,UNSAT,61.3,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:38:30.764915+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50.vnnlib,UNSAT,57.9,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T12:39:33.743942+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_0.vnnlib,UNSAT,58.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:40:36.707858+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_1.vnnlib,UNSAT,58.5,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:41:40.055392+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_2.vnnlib,UNSAT,58.6,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:42:43.709078+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_3.vnnlib,UNSAT,57.7,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:43:46.219993+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_4.vnnlib,UNSAT,58.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:44:49.480905+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120.vnnlib,UNSAT,61.1,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T12:45:55.547544+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_0.vnnlib,UNSAT,60.9,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T12:47:01.396391+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_1.vnnlib,UNSAT,58.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:48:04.505265+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_2.vnnlib,UNSAT,58.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:49:07.536724+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_3.vnnlib,UNSAT,60.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:50:13.496322+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_4.vnnlib,UNSAT,60.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:51:19.202589+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30.vnnlib,UNSAT,60.6,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:52:24.810828+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_0.vnnlib,UNSAT,61.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:53:30.827513+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_1.vnnlib,UNSAT,61.3,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T12:54:37.054147+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_2.vnnlib,UNSAT,61.0,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:55:43.026770+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_3.vnnlib,UNSAT,61.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:56:49.098043+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_4.vnnlib,UNSAT,60.8,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T12:57:54.793749+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80.vnnlib,UNSAT,58.2,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T12:58:57.932233+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80_0.vnnlib,UNSAT,58.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:00:01.813058+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80_1.vnnlib,UNSAT,57.8,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:01:04.465344+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80_2.vnnlib,UNSAT,58.5,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:02:07.964394+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80_3.vnnlib,UNSAT,59.0,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:03:11.835293+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80_4.vnnlib,UNSAT,57.6,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:04:14.365564+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30.vnnlib,UNSAT,60.9,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:05:20.230504+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30_0.vnnlib,UNSAT,61.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:06:26.253979+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30_1.vnnlib,UNSAT,61.4,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:07:32.624304+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30_2.vnnlib,UNSAT,61.2,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:08:38.803117+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30_3.vnnlib,UNSAT,61.1,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:09:44.905068+00:00
linearizenn_2024,AllInOne_120_30.onnx,prop_120_30_4.vnnlib,UNSAT,60.7,900,8000,7999,0.001,0.9990,0.9980,1000,0.9970,,,,2026-05-02T13:10:50.542904+00:00
linearizenn_2024,AllInOne_120_50.onnx,prop_120_50.vnnlib,UNSAT,57.5,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:11:52.887138+00:00
linearizenn_2024,AllInOne_120_50.onnx,prop_120_50_0.vnnlib,UNSAT,57.6,900,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T13:12:55.509097+00:00
linearizenn_2024,AllInOne_120_50.onnx,prop_120_50_1.vnnlib,UNSAT,58.1,900,8000,7999,0.001,0.9990,0.9980,1000,0.9970,,,,2026-05-02T13:13:58.541826+00:00
linearizenn_2024,AllInOne_120_50.onnx,prop_120_50_2.vnnlib,UNSAT,57.6,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:15:01.170739+00:00
linearizenn_2024,AllInOne_120_50.onnx,prop_120_50_3.vnnlib,UNSAT,57.8,900,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:16:03.841987+00:00
