benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10.vnnlib,SAT,0.7,0.0,0.0,900,,,,,,,,"[-0.7789662480354309, 0.800000011920929, -1.3253693580627441, -1.4675618410110474]","[40.478965759277344, -40.478965759277344]",,2026-05-02T10:55:32.490062+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_0.vnnlib,UNSAT,75.6,52.6,22.3,900,1.0000,5.3871,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T10:56:56.399629+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_1.vnnlib,UNSAT,75.0,52.5,21.7,900,1.0000,5.9918,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T10:58:19.206021+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_2.vnnlib,UNSAT,73.5,50.9,21.9,900,1.0000,5.5899,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T10:59:41.237525+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_3.vnnlib,UNSAT,78.7,56.0,22.0,900,0.9995,5.4433,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:01:08.728400+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_4.vnnlib,UNSAT,74.0,50.8,22.6,900,1.0000,5.3480,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:02:31.387223+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30.vnnlib,UNSAT,81.5,51.0,29.7,900,1.0000,18.1191,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:04:01.443836+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_0.vnnlib,UNSAT,73.1,50.2,22.4,900,1.0000,14.9094,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:05:23.251506+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_1.vnnlib,UNSAT,74.6,51.0,22.8,900,0.9995,3.6309,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:06:46.542755+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_2.vnnlib,UNSAT,81.8,51.1,30.0,900,1.0000,1156.4948,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:08:16.865780+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_3.vnnlib,UNSAT,78.6,55.7,22.2,900,1.0000,12.8570,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:09:44.002436+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_4.vnnlib,UNSAT,79.5,56.3,22.5,900,1.0000,23.6949,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:11:12.077997+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80.vnnlib,UNSAT,80.9,57.6,22.5,900,1.0000,3.5997,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:12:41.483998+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_0.vnnlib,UNSAT,74.6,52.0,22.1,900,1.0000,3.5709,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:14:04.603386+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_1.vnnlib,UNSAT,74.9,51.6,22.6,900,1.0000,3.0142,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:15:28.051669+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_2.vnnlib,UNSAT,73.4,50.0,22.7,900,1.0000,4.1048,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:16:50.125994+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_3.vnnlib,UNSAT,78.3,55.1,22.5,900,1.0000,4.0654,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T11:18:17.024583+00:00
