benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10.vnnlib,NOT_APPLICABLE,4.19,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:51:50.128963+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_0.vnnlib,NOT_APPLICABLE,4.09,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:51:58.256959+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_1.vnnlib,NOT_APPLICABLE,4.07,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:06.222043+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_2.vnnlib,NOT_APPLICABLE,4.43,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:14.563204+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_3.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:22.747212+00:00
linearizenn_2024,AllInOne_10_10.onnx,prop_10_10_4.vnnlib,NOT_APPLICABLE,4.07,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:30.739853+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:38.738528+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_0.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:46.709889+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_1.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:52:54.709254+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_2.vnnlib,NOT_APPLICABLE,4.09,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:02.701150+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_3.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:10.750000+00:00
linearizenn_2024,AllInOne_30_30.onnx,prop_30_30_4.vnnlib,NOT_APPLICABLE,4.07,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:18.717977+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80.vnnlib,NOT_APPLICABLE,4.05,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:26.671807+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_0.vnnlib,NOT_APPLICABLE,4.04,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:34.620445+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_1.vnnlib,NOT_APPLICABLE,4.30,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:42.812912+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_2.vnnlib,NOT_APPLICABLE,4.04,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:50.747023+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_3.vnnlib,NOT_APPLICABLE,4.10,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:53:58.755353+00:00
linearizenn_2024,AllInOne_30_80.onnx,prop_30_80_4.vnnlib,NOT_APPLICABLE,4.05,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:06.713587+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50.vnnlib,NOT_APPLICABLE,4.05,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:14.695898+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_0.vnnlib,NOT_APPLICABLE,4.05,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:22.665258+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_1.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:30.645247+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_2.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:38.625099+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_3.vnnlib,NOT_APPLICABLE,4.32,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:46.867137+00:00
linearizenn_2024,AllInOne_50_50.onnx,prop_50_50_4.vnnlib,NOT_APPLICABLE,4.19,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:54:55.171279+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120.vnnlib,NOT_APPLICABLE,4.26,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:03.421097+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_0.vnnlib,NOT_APPLICABLE,4.51,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:12.055405+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_1.vnnlib,NOT_APPLICABLE,4.31,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:20.358792+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_2.vnnlib,NOT_APPLICABLE,4.26,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:28.657348+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_3.vnnlib,NOT_APPLICABLE,4.09,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:36.772008+00:00
linearizenn_2024,AllInOne_50_120.onnx,prop_50_120_4.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:44.746409+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:55:52.724421+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_0.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:00.713403+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_1.vnnlib,NOT_APPLICABLE,4.33,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:09.111499+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_2.vnnlib,NOT_APPLICABLE,4.08,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:17.202495+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_3.vnnlib,NOT_APPLICABLE,4.07,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:25.185923+00:00
linearizenn_2024,AllInOne_80_30.onnx,prop_80_30_4.vnnlib,NOT_APPLICABLE,4.09,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:33.177670+00:00
linearizenn_2024,AllInOne_80_80.onnx,prop_80_80.vnnlib,NOT_APPLICABLE,4.06,900,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-05T23:56:41.147450+00:00
