benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10.vnnlib,UNSAT,0.46,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.000988642665959345,0.020988642665959345,41,,2026-05-04T20:15:10.162352+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_0.vnnlib,UNSAT,0.39,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:14.604388+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_1.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:18.880951+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_2.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:23.281983+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_3.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:27.647473+00:00
linearizenn_2024,AllInOne_10_10.onnx+prop_10_10_4.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:31.922825+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:36.182577+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30_0.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:40.456811+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30_1.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:44.720162+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30_2.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:49.116012+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30_3.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:53.478546+00:00
linearizenn_2024,AllInOne_30_30.onnx+prop_30_30_4.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:15:57.761718+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:02.064649+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80_0.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:06.615480+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80_1.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:10.913015+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80_2.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:15.185561+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80_3.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:19.446366+00:00
linearizenn_2024,AllInOne_30_80.onnx+prop_30_80_4.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:23.713136+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:28.189539+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50_0.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:32.464663+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50_1.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:36.748729+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50_2.vnnlib,UNSAT,0.39,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:41.038515+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50_3.vnnlib,UNSAT,0.38,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:45.469628+00:00
linearizenn_2024,AllInOne_50_50.onnx+prop_50_50_4.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:49.865180+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:54.116214+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120_0.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:16:58.389107+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120_1.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:17:02.870302+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120_2.vnnlib,UNSAT,0.36,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:17:07.117694+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120_3.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:17:11.383822+00:00
linearizenn_2024,AllInOne_50_120.onnx+prop_50_120_4.vnnlib,UNSAT,0.37,900,0.001,0.01,0.05,41471,2,0.0005,0.025,2,0.0,0.02,0,,2026-05-04T20:17:15.761343+00:00
