benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,m,ell,epsilon,coverage,coverage_empirical,coverage_n_test,confidence,cex_x,cex_y,error,timestamp
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_0.vnnlib,UNKNOWN,101.0,25,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-04T00:31:13.245848+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_0.vnnlib,UNKNOWN,29.2,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:30:57.704151+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_1.vnnlib,UNKNOWN,27.5,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:31:29.997985+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_2.vnnlib,UNKNOWN,28.9,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:32:03.657333+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_3.vnnlib,UNKNOWN,29.2,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:32:37.584003+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_4.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:33:11.398377+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_5.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:33:45.252627+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_6.vnnlib,UNKNOWN,28.6,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:34:18.524759+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_7.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:34:52.205847+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_8.vnnlib,UNKNOWN,29.1,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:35:26.054290+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_9.vnnlib,UNKNOWN,28.8,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:35:59.548196+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_10.vnnlib,UNKNOWN,28.4,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:36:32.651548+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_11.vnnlib,UNKNOWN,28.9,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:37:06.300950+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_12.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:37:39.991282+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_13.vnnlib,UNKNOWN,28.6,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:38:13.254287+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_14.vnnlib,UNKNOWN,28.9,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:38:46.814771+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_15.vnnlib,UNKNOWN,28.8,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:39:20.335197+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_16.vnnlib,UNKNOWN,28.8,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:39:53.879595+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_17.vnnlib,UNKNOWN,28.9,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:40:27.462975+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_18.vnnlib,UNKNOWN,28.8,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:41:00.891239+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_19.vnnlib,UNKNOWN,29.2,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:41:34.788039+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_20.vnnlib,UNKNOWN,29.1,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:42:08.565284+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_21.vnnlib,UNKNOWN,29.1,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:42:42.436277+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_22.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:43:16.118085+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_23.vnnlib,UNKNOWN,29.2,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:43:50.012902+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_24.vnnlib,UNKNOWN,29.0,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:44:23.683556+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_25.vnnlib,UNKNOWN,28.8,25,4000,3999,0.001,0.9990,1.0000,1000,0.9085,,,,2026-05-04T18:44:57.256081+00:00
