benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_0.vnnlib,UNKNOWN,34.5,32.5,0.5,25,0.9995,5.4508,0.0012,0.9960,1.5138e-04,True,2,,,,2026-05-04T22:30:22.422680+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_1.vnnlib,UNKNOWN,27.4,25.9,0.1,25,0.9995,5.4508,0.0102,0.9960,9.1955e-03,True,1,,,,2026-05-04T22:30:58.283745+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_2.vnnlib,UNKNOWN,28.1,25.9,0.9,25,0.9995,5.4508,0.0011,0.9960,8.3080e-05,True,3,,,,2026-05-04T22:31:35.306678+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_3.vnnlib,UNKNOWN,37.0,34.6,0.9,25,0.9995,5.4508,0.0010,0.9960,3.3232e-05,True,3,,,,2026-05-04T22:32:21.019013+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_4.vnnlib,UNKNOWN,35.1,32.7,0.9,25,0.9995,5.4508,0.0011,0.9960,9.9696e-05,True,3,,,,2026-05-04T22:33:04.665053+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_5.vnnlib,UNKNOWN,36.1,33.7,0.9,25,0.9995,5.4508,0.0010,0.9960,1.6616e-05,True,3,,,,2026-05-04T22:33:49.300384+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_6.vnnlib,UNKNOWN,27.7,25.7,0.9,25,0.9995,5.4508,0.0011,0.9960,1.1631e-04,True,3,,,,2026-05-04T22:34:25.458641+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_7.vnnlib,UNKNOWN,30.3,28.3,0.9,25,0.9995,5.4508,0.0010,0.9960,3.3232e-05,True,3,,,,2026-05-04T22:35:04.239634+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_8.vnnlib,UNKNOWN,35.8,33.4,0.9,25,0.9995,5.4508,0.0010,0.9960,3.3232e-05,True,3,,,,2026-05-04T22:35:48.824066+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_9.vnnlib,UNKNOWN,35.5,33.5,0.5,25,0.9995,5.4508,0.0012,0.9960,1.5138e-04,True,2,,,,2026-05-04T22:36:32.804828+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_10.vnnlib,UNKNOWN,35.3,33.3,0.5,25,0.9995,5.4508,0.0012,0.9960,1.5138e-04,True,2,,,,2026-05-04T22:37:16.595595+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_11.vnnlib,UNKNOWN,27.7,25.3,0.9,25,0.9995,5.4508,0.0011,0.9960,8.3080e-05,True,3,,,,2026-05-04T22:37:52.787636+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_12.vnnlib,UNKNOWN,35.5,33.1,0.9,25,0.9995,5.4508,0.0011,0.9960,9.9696e-05,True,3,,,,2026-05-04T22:38:36.777273+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_13.vnnlib,UNKNOWN,29.0,26.6,0.9,25,0.9995,5.4508,0.0011,0.9960,6.6464e-05,True,3,,,,2026-05-04T22:39:14.255792+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_14.vnnlib,UNKNOWN,27.8,26.4,0.1,25,0.9995,5.4508,0.0102,0.9960,9.1955e-03,True,1,,,,2026-05-04T22:39:50.563824+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_15.vnnlib,UNKNOWN,30.4,28.1,1.1,25,0.9995,5.4508,0.0011,0.9960,8.3080e-05,True,3,,,,2026-05-04T22:40:29.455197+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_16.vnnlib,UNKNOWN,30.6,28.2,0.9,25,0.9995,5.4508,0.0010,0.9960,1.6616e-05,True,3,,,,2026-05-04T22:41:08.577535+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_17.vnnlib,UNKNOWN,34.5,33.1,0.1,25,0.9995,5.4508,0.0102,0.9960,9.1955e-03,True,1,,,,2026-05-04T22:41:51.697198+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_18.vnnlib,UNKNOWN,26.8,25.2,0.1,25,0.9995,5.4508,0.0102,0.9960,9.1955e-03,True,1,,,,2026-05-04T22:42:26.942761+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_19.vnnlib,UNKNOWN,26.9,25.3,0.1,25,0.9995,5.4508,0.0102,0.9960,9.1955e-03,True,1,,,,2026-05-04T22:43:02.336093+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_20.vnnlib,UNKNOWN,27.6,25.6,0.5,25,0.9995,5.4508,0.0012,0.9960,1.5138e-04,True,2,,,,2026-05-04T22:43:38.370094+00:00
lsnc_relu,relu_quadrotor2d_state.onnx,quadrotor2d_state_21.vnnlib,UNKNOWN,33.3,30.9,0.9,25,0.9995,5.4508,0.0010,0.9960,4.9848e-05,True,3,,,,2026-05-04T22:44:20.115946+00:00
