benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
metaroom_2023,6cnn_tz_35_5_no_custom_OP.onnx,spec_idx_176_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.18,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:01.045970+00:00
metaroom_2023,4cnn_tz_65_10_no_custom_OP.onnx,spec_idx_79_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.12,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:09.313488+00:00
metaroom_2023,6cnn_tz_65_10_no_custom_OP.onnx,spec_idx_196_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.28,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:17.671996+00:00
metaroom_2023,6cnn_ry_30_5_no_custom_OP.onnx,spec_idx_114_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.14,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:25.819920+00:00
metaroom_2023,4cnn_ry_47_7_no_custom_OP.onnx,spec_idx_23_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.08,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:33.806285+00:00
metaroom_2023,6cnn_ry_5_0_no_custom_OP.onnx,spec_idx_130_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.30,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:42.071289+00:00
metaroom_2023,4cnn_ry_65_10_no_custom_OP.onnx,spec_idx_33_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:50.220537+00:00
metaroom_2023,4cnn_tz_8_1_no_custom_OP.onnx,spec_idx_88_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:00:58.206558+00:00
metaroom_2023,6cnn_ry_38_6_no_custom_OP.onnx,spec_idx_118_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.88,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:07.094256+00:00
metaroom_2023,6cnn_ry_49_8_no_custom_OP.onnx,spec_idx_124_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.21,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:15.342243+00:00
metaroom_2023,4cnn_ry_34_5_no_custom_OP.onnx,spec_idx_12_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.09,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:23.313882+00:00
metaroom_2023,4cnn_tz_37_6_no_custom_OP.onnx,spec_idx_61_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.04,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:31.256551+00:00
metaroom_2023,6cnn_tz_114_19_no_custom_OP.onnx,spec_idx_160_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:39.357499+00:00
metaroom_2023,4cnn_tz_31_5_no_custom_OP.onnx,spec_idx_57_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.26,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:47.533062+00:00
metaroom_2023,6cnn_ry_93_15_no_custom_OP.onnx,spec_idx_148_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:01:55.614125+00:00
metaroom_2023,4cnn_ry_56_9_no_custom_OP.onnx,spec_idx_27_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.32,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:03.855247+00:00
metaroom_2023,6cnn_tz_91_15_no_custom_OP.onnx,spec_idx_207_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.38,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:12.155842+00:00
metaroom_2023,6cnn_ry_48_8_no_custom_OP.onnx,spec_idx_123_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.40,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:20.525442+00:00
metaroom_2023,6cnn_tz_62_10_no_custom_OP.onnx,spec_idx_193_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.19,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:28.789872+00:00
metaroom_2023,6cnn_tz_75_12_no_custom_OP.onnx,spec_idx_203_eps_0.00001000.vnnlib,NOT_APPLICABLE,4.23,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:36.937441+00:00
metaroom_2023,4cnn_ry_6_1_no_custom_OP.onnx,spec_idx_35_eps_0.00000436.vnnlib,NOT_APPLICABLE,4.05,210,0.0,gurobi,,,0.001,0,load_onnx_network Exception: error: incorrect dilation,2026-05-06T00:02:44.957841+00:00
