benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
metaroom_2023,6cnn_tz_35_5_no_custom_OP.onnx+spec_idx_176_eps_0.00001000.vnnlib,UNKNOWN,57.90,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:24:17.846145+00:00
metaroom_2023,4cnn_tz_65_10_no_custom_OP.onnx+spec_idx_79_eps_0.00001000.vnnlib,UNKNOWN,193.11,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:27:34.926009+00:00
metaroom_2023,6cnn_tz_65_10_no_custom_OP.onnx+spec_idx_196_eps_0.00001000.vnnlib,UNKNOWN,58.54,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:28:37.429775+00:00
metaroom_2023,6cnn_ry_30_5_no_custom_OP.onnx+spec_idx_114_eps_0.00000436.vnnlib,UNKNOWN,58.12,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:29:39.520900+00:00
metaroom_2023,4cnn_ry_47_7_no_custom_OP.onnx+spec_idx_23_eps_0.00000436.vnnlib,UNKNOWN,196.20,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:32:59.695529+00:00
metaroom_2023,6cnn_ry_5_0_no_custom_OP.onnx+spec_idx_130_eps_0.00000436.vnnlib,UNKNOWN,59.68,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:34:03.410873+00:00
metaroom_2023,4cnn_ry_65_10_no_custom_OP.onnx+spec_idx_33_eps_0.00000436.vnnlib,UNKNOWN,195.26,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:37:22.747808+00:00
metaroom_2023,4cnn_tz_8_1_no_custom_OP.onnx+spec_idx_88_eps_0.00001000.vnnlib,UNKNOWN,195.02,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:40:41.728190+00:00
metaroom_2023,6cnn_ry_38_6_no_custom_OP.onnx+spec_idx_118_eps_0.00000436.vnnlib,UNKNOWN,57.29,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:41:43.008421+00:00
metaroom_2023,6cnn_ry_49_8_no_custom_OP.onnx+spec_idx_124_eps_0.00000436.vnnlib,UNKNOWN,57.93,210,0.001,0.01,0.05,52727,19,5.2631578947368424e-05,0.002631578947368421,0,0.0,0.19,0,,2026-05-04T14:42:44.920426+00:00
