benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,m,ell,epsilon,coverage,coverage_empirical,coverage_n_test,confidence,cex_x,cex_y,error,timestamp
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,UNSAT,46.1,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:47:01.475595+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,UNSAT,49.7,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:47:56.091396+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,property_N=8_2.vnnlib,UNSAT,46.1,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:48:47.158884+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,SAT,2.7,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[1.2232561111450195],,2026-05-02T13:48:54.712876+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,UNSAT,49.3,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:49:48.579438+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,SAT,2.7,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-2.136526107788086],,2026-05-02T13:49:56.327087+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,UNSAT,49.3,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:50:50.285849+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,UNSAT,46.5,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:51:41.852103+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,property_N=24_0.vnnlib,UNSAT,49.8,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:52:36.492081+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,UNSAT,46.6,600,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T13:53:27.966726+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_2.onnx,property_N=24_2.vnnlib,SAT,3.0,600,8000,7999,0.001,,,0,,"[-0.6327919960021973, -1.7853248119354248]",[-4.890003204345703],,2026-05-02T13:53:35.983995+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_3.onnx,property_N=24_3.vnnlib,SAT,2.8,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.4321188926696777],,2026-05-02T13:53:43.371164+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_0.onnx,property_N=32_0.vnnlib,UNSAT,47.1,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:54:35.081012+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_1.onnx,property_N=32_1.vnnlib,SAT,2.9,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.2705211639404297],,2026-05-02T13:54:42.772464+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_2.onnx,property_N=32_2.vnnlib,UNSAT,50.5,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:55:37.840764+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_3.onnx,property_N=32_3.vnnlib,UNSAT,46.7,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:56:29.564138+00:00
tllverify_2023,tllBench_n=2_N=M=40_m=1_instance_4_0.onnx,property_N=40_0.vnnlib,UNSAT,47.7,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:57:22.174285+00:00
tllverify_2023,tllBench_n=2_N=M=40_m=1_instance_4_1.onnx,property_N=40_1.vnnlib,SAT,3.4,600,8000,7999,0.001,,,0,,"[1.167207956314087, 0.8146752715110779]",[-2.116957664489746],,2026-05-02T13:57:30.407157+00:00
tllverify_2023,tllBench_n=2_N=M=40_m=1_instance_4_2.onnx,property_N=40_2.vnnlib,UNSAT,50.7,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:58:25.795773+00:00
tllverify_2023,tllBench_n=2_N=M=40_m=1_instance_4_3.onnx,property_N=40_3.vnnlib,SAT,3.2,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.7655534744262695],,2026-05-02T13:58:34.201514+00:00
tllverify_2023,tllBench_n=2_N=M=48_m=1_instance_5_0.onnx,property_N=48_0.vnnlib,SAT,3.8,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.7215752601623535],,2026-05-02T13:58:42.617543+00:00
tllverify_2023,tllBench_n=2_N=M=48_m=1_instance_5_1.onnx,property_N=48_1.vnnlib,SAT,4.1,600,8000,7999,0.001,,,0,,"[0.6607221364974976, 0.014900118112564087]",[-0.856586217880249],,2026-05-02T13:58:51.366793+00:00
tllverify_2023,tllBench_n=2_N=M=48_m=1_instance_5_2.onnx,property_N=48_2.vnnlib,UNSAT,48.2,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T13:59:44.201486+00:00
tllverify_2023,tllBench_n=2_N=M=48_m=1_instance_5_3.onnx,property_N=48_3.vnnlib,SAT,4.0,600,8000,7999,0.001,,,0,,"[0.7672079801559448, 0.8146752715110779]",[-1.8495421409606934],,2026-05-02T13:59:53.124899+00:00
tllverify_2023,tllBench_n=2_N=M=56_m=1_instance_6_0.onnx,property_N=56_0.vnnlib,UNSAT,49.6,600,8000,7999,0.001,0.9990,1.0000,1000,0.9970,,,,2026-05-02T14:00:47.336276+00:00
tllverify_2023,tllBench_n=2_N=M=56_m=1_instance_6_1.onnx,property_N=56_1.vnnlib,SAT,4.9,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-2.008815288543701],,2026-05-02T14:00:57.212804+00:00
tllverify_2023,tllBench_n=2_N=M=56_m=1_instance_6_2.onnx,property_N=56_2.vnnlib,SAT,4.9,600,8000,7999,0.001,,,0,,"[-0.33927786350250244, -1.785099983215332]",[-3.577589511871338],,2026-05-02T14:01:06.686934+00:00
tllverify_2023,tllBench_n=2_N=M=56_m=1_instance_6_3.onnx,property_N=56_3.vnnlib,SAT,5.2,600,8000,7999,0.001,,,0,,"[-0.139277845621109, -1.5850999355316162]",[-0.7657005786895752],,2026-05-02T14:01:16.527120+00:00
tllverify_2023,tllBench_n=2_N=M=64_m=1_instance_7_0.onnx,property_N=64_0.vnnlib,SAT,6.8,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.8844919204711914],,2026-05-02T14:01:27.964054+00:00
tllverify_2023,tllBench_n=2_N=M=64_m=1_instance_7_1.onnx,property_N=64_1.vnnlib,SAT,6.8,600,8000,7999,0.001,,,0,,"[0.9672079682350159, 1.014675259590149]",[-1.9908828735351562],,2026-05-02T14:01:39.424953+00:00
tllverify_2023,tllBench_n=2_N=M=64_m=1_instance_7_2.onnx,property_N=64_2.vnnlib,SAT,6.9,600,8000,7999,0.001,,,0,,"[1.167207956314087, 1.2146753072738647]",[-1.8180303573608398],,2026-05-02T14:01:50.973141+00:00
tllverify_2023,tllBench_n=2_N=M=64_m=1_instance_7_3.onnx,property_N=64_3.vnnlib,UNKNOWN,53.9,600,8000,7999,0.001,0.9990,0.9990,1000,0.9970,,,,2026-05-02T14:02:49.477034+00:00
