benchmark,onnx_file,vnnlib_file,verdict,wall_s,vnncomp_timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,ERROR,4.38,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:13:48.912177+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,ERROR,4.29,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:13:57.195706+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,property_N=8_2.vnnlib,ERROR,4.27,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:05.452857+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,ERROR,4.31,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:13.885148+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,ERROR,4.13,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:22.065923+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,ERROR,4.23,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:30.323908+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,ERROR,4.11,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:38.478246+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,ERROR,4.11,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:46.578141+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,property_N=24_0.vnnlib,ERROR,4.38,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:14:54.940848+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,ERROR,4.27,600,0.0,gurobi,,,0.001,0,get_num_inputs_outputs ValueError: too many values to unpack (expected 2),2026-05-06T00:15:03.256153+00:00
