benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx+property_N=8_0.vnnlib,UNSAT,0.22,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:19:33.397234+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx+property_N=8_1.vnnlib,UNSAT,0.22,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:19:37.524119+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx+property_N=8_2.vnnlib,UNSAT,0.23,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:19:41.657120+00:00
tllverify_2023,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx+property_N=8_3.vnnlib,SAT,0.27,600,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.8374161294566504,0.8474161294566505,31826,,2026-05-04T20:19:45.824649+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx+property_N=16_0.vnnlib,UNSAT,1.57,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:19:51.282961+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx+property_N=16_1.vnnlib,SAT,1.53,600,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.9992895671622155,1.0092895671622155,37978,,2026-05-04T20:19:56.746317+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx+property_N=16_2.vnnlib,UNSAT,1.74,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:20:02.564985+00:00
tllverify_2023,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx+property_N=16_3.vnnlib,UNSAT,1.78,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:20:08.294224+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx+property_N=24_0.vnnlib,UNSAT,0.72,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:20:13.096115+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx+property_N=24_1.vnnlib,UNSAT,0.66,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:20:17.752043+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_2.onnx+property_N=24_2.vnnlib,UNSAT,0.68,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.028811998421260362,0.03881199842126036,1095,,2026-05-04T20:20:22.334942+00:00
tllverify_2023,tllBench_n=2_N=M=24_m=1_instance_2_3.onnx+property_N=24_3.vnnlib,SAT,0.65,600,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.7495855808446257,0.7595855808446257,28488,,2026-05-04T20:20:26.886876+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_0.onnx+property_N=32_0.vnnlib,UNSAT,1.11,600,0.001,0.01,0.05,38005,1,0.001,0.05,1,0.0,0.01,0,,2026-05-04T20:20:31.891582+00:00
tllverify_2023,tllBench_n=2_N=M=32_m=1_instance_3_1.onnx+property_N=32_1.vnnlib,SAT,1.11,600,0.001,0.01,0.05,38005,1,0.001,0.05,0,0.9851072227338508,0.9951072227338508,37439,,2026-05-04T20:20:36.912984+00:00
