benchmark,instance,verdict,wall_s,timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib,NOT_APPLICABLE,4.23,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:18:48.127117+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib,NOT_APPLICABLE,4.34,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:18:56.555097+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib,NOT_APPLICABLE,4.20,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:04.731700+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.vnnlib,NOT_APPLICABLE,4.15,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:12.829209+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:20.921607+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6135_sidx_4586_eps_0.0039.vnnlib,NOT_APPLICABLE,4.24,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:29.225691+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4921_sidx_3617_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:37.468095+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_5242_sidx_1208_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:45.586950+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2176_sidx_3285_eps_0.0039.vnnlib,NOT_APPLICABLE,4.28,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:19:54.004381+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_8762_sidx_3374_eps_0.0039.vnnlib,NOT_APPLICABLE,4.10,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:02.198026+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7704_sidx_3701_eps_0.0039.vnnlib,NOT_APPLICABLE,4.15,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:10.440556+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,NOT_APPLICABLE,4.21,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:18.989024+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6415_sidx_4543_eps_0.0039.vnnlib,NOT_APPLICABLE,4.14,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:27.097985+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2477_sidx_388_eps_0.0039.vnnlib,NOT_APPLICABLE,4.25,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:35.430518+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6553_sidx_7265_eps_0.0039.vnnlib,NOT_APPLICABLE,4.23,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:43.758466+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_8600_sidx_2721_eps_0.0039.vnnlib,NOT_APPLICABLE,4.27,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:20:52.254012+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7258_sidx_3539_eps_0.0039.vnnlib,NOT_APPLICABLE,4.12,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:21:00.470436+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6659_sidx_4583_eps_0.0039.vnnlib,NOT_APPLICABLE,4.13,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: AssertionError,2026-05-06T00:21:08.550285+00:00
