benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib,UNKNOWN,12.12,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:41:56.892975+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib,UNKNOWN,14.13,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:42:14.973375+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib,UNKNOWN,13.37,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:42:32.267062+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.vnnlib,UNKNOWN,12.61,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:42:48.821691+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.vnnlib,UNKNOWN,12.99,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:43:05.788024+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6135_sidx_4586_eps_0.0039.vnnlib,UNKNOWN,13.82,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:43:23.668900+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4921_sidx_3617_eps_0.0039.vnnlib,UNKNOWN,12.42,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:43:40.090686+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_5242_sidx_1208_eps_0.0039.vnnlib,UNKNOWN,13.33,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:43:57.391453+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2176_sidx_3285_eps_0.0039.vnnlib,UNKNOWN,15.08,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:44:16.426944+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_8762_sidx_3374_eps_0.0039.vnnlib,UNKNOWN,13.29,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:44:33.680347+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7704_sidx_3701_eps_0.0039.vnnlib,UNKNOWN,13.38,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:44:51.033025+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_4752_sidx_1800_eps_0.0039.vnnlib,UNKNOWN,13.02,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:45:08.019632+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6415_sidx_4543_eps_0.0039.vnnlib,UNKNOWN,12.91,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:45:24.875654+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_2477_sidx_388_eps_0.0039.vnnlib,UNKNOWN,13.11,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:45:41.963832+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6553_sidx_7265_eps_0.0039.vnnlib,UNKNOWN,13.24,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:45:59.377306+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_8600_sidx_2721_eps_0.0039.vnnlib,UNKNOWN,13.16,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:46:16.713310+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_7258_sidx_3539_eps_0.0039.vnnlib,UNKNOWN,12.52,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:46:33.204301+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_6659_sidx_4583_eps_0.0039.vnnlib,UNKNOWN,13.07,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:46:50.244839+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_885_sidx_7654_eps_0.0039.vnnlib,UNKNOWN,13.57,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:47:07.795574+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_3006_sidx_928_eps_0.0039.vnnlib,UNKNOWN,12.99,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:47:24.764391+00:00
cifar100_2024,CIFAR100_resnet_medium.onnx+CIFAR100_resnet_medium_prop_idx_1588_sidx_6654_eps_0.0039.vnnlib,UNKNOWN,13.69,100,0.001,0.01,0.05,60981,99,1.0101010101010101e-05,0.000505050505050505,0,0.0,0.99,0,,2026-05-05T17:47:42.396413+00:00
