benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.vnnlib,UNKNOWN,42.48,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:53:13.342590+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.vnnlib,UNKNOWN,43.22,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:54:00.521272+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.vnnlib,UNKNOWN,42.60,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:54:47.207384+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.vnnlib,UNKNOWN,42.95,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:55:34.245678+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.vnnlib,UNKNOWN,45.83,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:56:24.061129+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5478_sidx_174_eps_0.0039.vnnlib,UNKNOWN,42.72,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:57:10.980605+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.vnnlib,SAT,44.95,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,1.0,2.99,64472,,2026-05-05T19:58:00.065040+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_6252_sidx_9972_eps_0.0039.vnnlib,UNKNOWN,45.92,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:58:49.993526+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2146_sidx_298_eps_0.0039.vnnlib,UNKNOWN,42.24,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T19:59:36.367784+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_538_sidx_2467_eps_0.0039.vnnlib,UNKNOWN,41.29,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:00:21.631957+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5134_sidx_3767_eps_0.0039.vnnlib,UNKNOWN,41.57,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:01:07.153662+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_9535_sidx_6151_eps_0.0039.vnnlib,UNKNOWN,42.20,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:01:53.412284+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_253_sidx_4834_eps_0.0039.vnnlib,UNKNOWN,42.55,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:02:40.023633+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_5673_sidx_6615_eps_0.0039.vnnlib,UNKNOWN,42.86,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:03:26.849663+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_1459_sidx_443_eps_0.0039.vnnlib,UNKNOWN,42.26,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:04:13.072978+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_551_sidx_6748_eps_0.0039.vnnlib,UNKNOWN,43.02,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:05:00.052800+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_4526_sidx_9254_eps_0.0039.vnnlib,UNKNOWN,42.60,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:05:46.635825+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2063_sidx_8156_eps_0.0039.vnnlib,UNKNOWN,42.40,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:06:33.031727+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_879_sidx_6242_eps_0.0039.vnnlib,UNKNOWN,41.63,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:07:18.611254+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_247_sidx_1124_eps_0.0039.vnnlib,UNKNOWN,41.82,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:08:04.482027+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2582_sidx_5386_eps_0.0039.vnnlib,UNKNOWN,42.50,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:08:50.979467+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_2936_sidx_7810_eps_0.0039.vnnlib,UNKNOWN,41.74,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:09:36.691214+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_1175_sidx_7775_eps_0.0039.vnnlib,UNKNOWN,45.87,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:10:26.556646+00:00
tinyimagenet_2024,TinyImageNet_resnet_medium.onnx+TinyImageNet_resnet_medium_prop_idx_7365_sidx_3284_eps_0.0039.vnnlib,UNKNOWN,43.85,100,0.001,0.01,0.05,64472,199,5.025125628140704e-06,0.0002512562814070352,0,0.0,1.99,0,,2026-05-05T20:11:14.376576+00:00
