benchmark,instance,verdict,wall_s,timeout_s,m,ell,epsilon,pca_components,training_samples,coverage,confidence,cex_x,cex_y,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,UNSAT,16.3,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:31:35.989241+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,UNSAT,15.7,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:31:56.608218+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,UNSAT,14.9,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:32:16.558267+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,UNSAT,15.6,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:32:37.130201+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,UNSAT,16.0,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:32:57.967279+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3695.vnnlib,UNSAT,16.4,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:33:19.318623+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8808.vnnlib,UNSAT,16.6,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:33:40.876248+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_747.vnnlib,UNSAT,16.5,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:34:02.224117+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2209.vnnlib,UNSAT,16.2,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:34:23.375515+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8776.vnnlib,UNSAT,15.6,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:34:43.831786+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3660.vnnlib,UNSAT,15.8,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:35:04.462597+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7086.vnnlib,UNSAT,16.4,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:35:25.684092+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1058.vnnlib,UNSAT,16.3,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:35:46.916209+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3034.vnnlib,UNSAT,16.0,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:36:07.789328+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2296.vnnlib,UNSAT,15.8,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:36:28.470083+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9655.vnnlib,UNSAT,15.8,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:36:49.103289+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1438.vnnlib,UNSAT,15.7,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:37:09.608711+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_94.vnnlib,UNSAT,15.8,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:37:30.240792+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7664.vnnlib,UNSAT,15.7,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:37:50.731031+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5846.vnnlib,UNSAT,16.5,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:38:12.040516+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7144.vnnlib,UNSAT,16.3,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:38:33.280547+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6578.vnnlib,UNSAT,16.3,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:38:54.595261+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7154.vnnlib,UNSAT,16.3,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:39:15.718486+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3832.vnnlib,UNSAT,16.2,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:39:36.767091+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_560.vnnlib,UNSAT,16.1,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:39:57.900119+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2593.vnnlib,UNSAT,15.8,100,2500,2499,0.001,32,1250,0.9990,0.7129,,,,2026-05-05T16:40:18.733447+00:00
