benchmark,instance,verdict,wall_s,train_s,verify_s,timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,UNSAT,69.9,56.5,11.5,100,1.0000,7.4906,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:04:12.696319+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,UNSAT,65.1,50.8,12.7,100,1.0000,8.5104,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:05:27.281609+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,UNSAT,63.8,50.8,11.4,100,1.0000,7.8393,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:06:40.547607+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,UNSAT,69.5,56.3,11.3,100,1.0000,8.5664,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:07:59.449511+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,UNSAT,62.1,49.5,11.4,100,1.0000,7.4446,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:09:10.411274+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3695.vnnlib,UNSAT,63.4,50.5,11.3,100,1.0000,7.7594,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:10:23.246116+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8808.vnnlib,UNSAT,64.0,50.9,11.4,100,1.0000,7.9383,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:11:36.644792+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_747.vnnlib,UNSAT,70.7,57.4,11.4,100,0.9990,7.7438,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:12:56.807873+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2209.vnnlib,UNSAT,63.1,50.3,11.2,100,0.9995,8.1322,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:14:07.511759+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8776.vnnlib,UNSAT,69.8,56.7,11.4,100,1.0000,9.4162,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:15:26.775379+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3660.vnnlib,UNSAT,65.4,51.9,11.8,100,1.0000,8.1150,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:16:41.652428+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7086.vnnlib,UNSAT,62.6,49.5,11.5,100,1.0000,8.3113,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:17:53.881236+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1058.vnnlib,UNSAT,67.2,50.0,15.6,100,1.0000,9.2455,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:19:10.638620+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3034.vnnlib,UNSAT,62.0,49.5,11.4,100,1.0000,9.3452,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:20:22.224099+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2296.vnnlib,UNSAT,63.2,49.9,11.6,100,0.9995,8.2813,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:21:35.004688+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9655.vnnlib,UNSAT,70.5,57.1,11.5,100,0.9980,7.6786,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:22:55.040414+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1438.vnnlib,UNSAT,67.9,50.6,15.4,100,1.0000,8.8352,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:24:12.305225+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_94.vnnlib,UNSAT,68.2,51.7,15.3,100,0.9990,8.4939,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:25:30.053712+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7664.vnnlib,UNSAT,67.7,50.6,15.4,100,0.9995,8.1335,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:26:47.307711+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5846.vnnlib,UNSAT,62.6,49.6,11.5,100,0.9995,8.1821,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:27:59.738222+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7144.vnnlib,UNSAT,65.0,51.4,11.9,100,1.0000,8.2672,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:29:14.228471+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6578.vnnlib,UNSAT,63.8,50.7,11.5,100,1.0000,7.7978,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:30:27.713163+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7154.vnnlib,UNSAT,63.8,50.8,11.2,100,1.0000,8.9478,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:31:41.122340+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3832.vnnlib,UNSAT,65.7,53.0,11.3,100,0.9995,7.8971,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:32:56.292984+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_560.vnnlib,UNSAT,67.0,54.6,11.3,100,1.0000,8.3008,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:34:11.903281+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2593.vnnlib,UNSAT,62.6,49.6,11.4,100,1.0000,8.3823,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:35:24.030276+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_988.vnnlib,UNSAT,67.8,50.8,15.4,100,0.9995,8.9429,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:36:41.502082+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7102.vnnlib,UNSAT,68.9,55.8,11.3,100,1.0000,8.3592,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T14:38:00.003807+00:00
