benchmark,instance,verdict,wall_s,timeout_s,p_filter,lp_solver,p_min,p_max,threshold,n_disjuncts,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,NOT_APPLICABLE,4.07,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:13:47.691248+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,NOT_APPLICABLE,4.09,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:13:55.716952+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,NOT_APPLICABLE,4.10,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:03.756207+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,NOT_APPLICABLE,4.31,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:11.997570+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,NOT_APPLICABLE,4.07,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:20.003235+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3695.vnnlib,NOT_APPLICABLE,4.08,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:28.031116+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8808.vnnlib,NOT_APPLICABLE,4.08,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:36.039365+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_747.vnnlib,NOT_APPLICABLE,4.09,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:44.068053+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2209.vnnlib,NOT_APPLICABLE,4.08,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:14:52.090105+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8776.vnnlib,NOT_APPLICABLE,4.08,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:15:00.106727+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3660.vnnlib,NOT_APPLICABLE,4.18,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:15:08.352789+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7086.vnnlib,NOT_APPLICABLE,4.08,100,0.0,gurobi,,,0.001,0,load_onnx_network AssertionError: multiple onnx network inputs input and input,2026-05-06T01:15:16.490788+00:00
