benchmark,instance,verdict,wall_s,timeout_s,beta,dkw_epsilon,delta,n_samples,k_disjuncts,beta_per,delta_per,n_certified_disjuncts,worst_prob_unsafe,union_upper_bound_unsafe,n_unsafe_samples,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,UNKNOWN,5.42,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:28:56.739426+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,UNKNOWN,5.64,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:06.360596+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,UNKNOWN,5.01,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:15.388339+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,UNKNOWN,5.08,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:24.440260+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,UNKNOWN,5.05,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:33.451866+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3695.vnnlib,UNKNOWN,5.02,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:42.435719+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8808.vnnlib,UNKNOWN,5.26,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:29:51.655335+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_747.vnnlib,UNKNOWN,5.24,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:00.863922+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2209.vnnlib,UNKNOWN,5.53,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:10.346441+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8776.vnnlib,UNKNOWN,5.27,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:19.756371+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3660.vnnlib,UNKNOWN,5.17,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:28.841575+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7086.vnnlib,UNKNOWN,5.03,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:37.828985+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1058.vnnlib,UNKNOWN,5.05,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:46.835205+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3034.vnnlib,UNKNOWN,5.07,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:30:55.888034+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2296.vnnlib,UNKNOWN,5.26,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:05.141180+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9655.vnnlib,UNKNOWN,5.47,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:14.730025+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1438.vnnlib,UNKNOWN,5.08,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:23.861712+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_94.vnnlib,UNKNOWN,5.07,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:32.904581+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7664.vnnlib,UNKNOWN,5.09,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:41.957160+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5846.vnnlib,UNKNOWN,4.99,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:50.922176+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7144.vnnlib,UNKNOWN,5.00,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:31:59.871720+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6578.vnnlib,UNKNOWN,5.15,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:08.993189+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7154.vnnlib,UNKNOWN,5.43,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:18.403178+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3832.vnnlib,UNKNOWN,5.13,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:27.476723+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_560.vnnlib,UNKNOWN,5.15,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:36.591716+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2593.vnnlib,UNKNOWN,5.22,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:45.886670+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_988.vnnlib,UNKNOWN,5.12,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:32:55.068843+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7102.vnnlib,UNKNOWN,5.09,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:33:04.142480+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9306.vnnlib,UNKNOWN,5.22,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:33:13.387968+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2113.vnnlib,UNKNOWN,5.04,100,0.001,0.01,0.05,48991,9,0.00011111111111111112,0.005555555555555556,0,0.0,0.09,0,,2026-05-05T22:33:22.424531+00:00
