depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,m,ell,epsilon,coverage,confidence,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
32,512,7883265,0,hashemi_clipping,UNSAT,37.79,300,1435313790,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:31:46.153908+00:00
32,512,7883265,1,hashemi_clipping,UNSAT,37.43,300,1277580153,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:32:30.607264+00:00
32,512,7883265,2,hashemi_clipping,UNSAT,37.61,300,1482464168,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:33:15.296884+00:00
32,512,7883265,3,hashemi_clipping,UNSAT,38.33,300,1410718837,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:34:00.575373+00:00
32,512,7883265,4,hashemi_clipping,UNSAT,38.14,300,1372622852,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:34:45.787517+00:00
32,512,7883265,5,hashemi_clipping,UNSAT,37.87,300,1009909530,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:35:30.558948+00:00
32,512,7883265,6,hashemi_clipping,UNSAT,38.02,300,773403822,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:36:15.513680+00:00
32,512,7883265,7,hashemi_clipping,UNSAT,38.54,300,2131459806,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:37:01.099798+00:00
32,512,7883265,8,hashemi_clipping,UNSAT,37.71,300,1870580989,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:37:45.807368+00:00
32,512,7883265,9,hashemi_clipping,UNSAT,37.61,300,1485641716,0.1000,0.323607,0.000000,unsat,8000,7999,0.001,0.9990,0.9970,,,,,,2026-05-03T15:38:30.486211+00:00
