depth,width,n_params,instance_idx,method,verdict,wall_s,train_s,verify_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
40,512,9984513,0,ours,UNSAT,61.2,49.5,11.7,300,1907361424,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:36:53.257077+00:00
40,512,9984513,1,ours,UNSAT,61.2,49.5,11.7,300,1958922734,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:38:05.236161+00:00
40,512,9984513,2,ours,UNSAT,65.5,53.9,11.6,300,846527582,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:39:23.235009+00:00
40,512,9984513,3,ours,UNSAT,61.1,49.5,11.6,300,1765224026,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:40:36.895983+00:00
40,512,9984513,4,ours,UNSAT,61.1,49.5,11.6,300,1824080126,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:41:50.642759+00:00
40,512,9984513,5,ours,UNSAT,68.4,56.6,11.7,300,1510908522,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:43:11.088197+00:00
40,512,9984513,6,ours,UNSAT,61.1,49.5,11.6,300,1471999246,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:44:24.518408+00:00
40,512,9984513,7,ours,UNSAT,61.7,49.8,11.9,300,1044141891,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:45:38.854711+00:00
40,512,9984513,8,ours,UNSAT,61.0,49.5,11.5,300,1459433186,0.1000,0.323607,0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:46:52.019301+00:00
40,512,9984513,9,ours,UNSAT,61.1,49.5,11.6,300,649112607,0.1000,0.323607,-0.000000,unsat,1.0000,0.0234,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-03T14:48:05.497180+00:00
