depth,width,n_params,instance_idx,method,verdict,wall_s,timeout_s,x_0_seed,eps,spec_threshold,empirical_max,ground_truth,amls_bounded_eps_2_upper,amls_levels_used,cex_x,cex_y,error,timestamp
4,512,528897,0,neuralsat,UNSAT,6.86,300,1062565877,0.1000,0.321824,-0.000843,unsat,,,,,,2026-05-03T18:54:20.892808+00:00
4,512,528897,1,neuralsat,UNSAT,6.90,300,665039295,0.1000,0.313457,-0.008705,unsat,,,,,,2026-05-03T18:54:32.174855+00:00
4,512,528897,2,neuralsat,UNSAT,6.81,300,1033933442,0.1000,0.318746,-0.003915,unsat,,,,,,2026-05-03T18:54:43.370519+00:00
4,512,528897,3,neuralsat,UNSAT,6.80,300,1110764368,0.1000,0.315151,-0.006560,unsat,,,,,,2026-05-03T18:54:54.507801+00:00
4,512,528897,4,neuralsat,UNSAT,6.84,300,51507258,0.1000,0.318891,-0.003100,unsat,,,,,,2026-05-03T18:55:05.616393+00:00
4,512,528897,5,neuralsat,UNSAT,6.90,300,1462926829,0.1000,0.319325,-0.003029,unsat,,,,,,2026-05-03T18:55:16.913883+00:00
4,512,528897,6,neuralsat,UNSAT,6.81,300,1696278575,0.1000,0.321400,-0.001402,unsat,,,,,,2026-05-03T18:55:28.113231+00:00
4,512,528897,7,neuralsat,UNSAT,6.79,300,505463880,0.1000,0.321535,-0.000697,unsat,,,,,,2026-05-03T18:55:39.202559+00:00
4,512,528897,8,neuralsat,UNSAT,6.82,300,112988024,0.1000,0.322000,-0.001288,unsat,,,,,,2026-05-03T18:55:50.309673+00:00
4,512,528897,9,neuralsat,UNSAT,6.83,300,1047336761,0.1000,0.320663,-0.001618,unsat,,,,,,2026-05-03T18:56:01.459443+00:00
