instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
0,0,tllBench_n=2_N=M=48_m=1_instance_5_3.onnx,property_N=48_3.vnnlib,sat,amls_bounded,UNKNOWN,4.171624,0.9990,4.6318e-01,4.6264e-01,54.4,0.0,54.4,,2026-05-06T21:34:41.958539+00:00
1,0,tllBench_n=2_N=M=24_m=1_instance_2_1.onnx,property_N=24_1.vnnlib,unsat,amls_bounded,UNSAT,3.814565,1.0000,1.0000e-03,3.1125e-30,49.7,11.6,61.3,,2026-05-06T21:35:55.315196+00:00
2,0,tllBench_n=2_N=M=56_m=1_instance_6_1.onnx,property_N=56_1.vnnlib,sat,amls_bounded,UNKNOWN,3.235059,1.0000,9.2060e-01,9.2052e-01,50.3,0.0,50.3,,2026-05-06T21:36:46.592214+00:00
3,0,tllBench_n=2_N=M=64_m=1_instance_7_2.onnx,property_N=64_2.vnnlib,sat,amls_bounded,UNKNOWN,3.206184,0.9990,9.1335e-01,9.1327e-01,51.1,0.0,51.2,,2026-05-06T21:37:39.282087+00:00
4,0,tllBench_n=2_N=M=56_m=1_instance_6_3.onnx,property_N=56_3.vnnlib,sat,amls_bounded,UNKNOWN,3.359795,1.0000,1.1777e-01,1.1689e-01,50.6,0.0,50.6,,2026-05-06T21:38:30.880421+00:00
5,0,tllBench_n=2_N=M=56_m=1_instance_6_2.onnx,property_N=56_2.vnnlib,sat,amls_bounded,UNKNOWN,2.533130,0.9995,1.1449e-01,1.1361e-01,51.4,0.0,51.4,,2026-05-06T21:39:23.306729+00:00
6,0,tllBench_n=2_N=M=48_m=1_instance_5_0.onnx,property_N=48_0.vnnlib,sat,amls_bounded,UNKNOWN,3.529427,1.0000,1.0000e+00,1.0000e+00,50.3,0.0,50.4,,2026-05-06T21:40:14.332385+00:00
7,0,tllBench_n=2_N=M=16_m=1_instance_1_2.onnx,property_N=16_2.vnnlib,unsat,amls_bounded,UNSAT,3.292993,1.0000,1.0000e-03,3.1125e-30,50.1,11.7,61.9,,2026-05-06T21:41:27.050689+00:00
8,0,tllBench_n=2_N=M=16_m=1_instance_1_1.onnx,property_N=16_1.vnnlib,sat,amls_bounded,UNKNOWN,3.272948,0.9990,1.0000e+00,1.0000e+00,49.8,0.0,49.8,,2026-05-06T21:42:17.148844+00:00
9,0,tllBench_n=2_N=M=32_m=1_instance_3_3.onnx,property_N=32_3.vnnlib,unsat,amls_bounded,UNSAT,3.156425,0.9995,1.0000e-03,3.1125e-30,49.9,11.7,61.6,,2026-05-06T21:43:30.708218+00:00
10,0,tllBench_n=2_N=M=56_m=1_instance_6_0.onnx,property_N=56_0.vnnlib,unsat,amls_bounded,UNSAT,3.426798,1.0000,1.0000e-03,3.1125e-30,50.5,11.7,62.2,,2026-05-06T21:44:45.801294+00:00
11,0,tllBench_n=2_N=M=24_m=1_instance_2_3.onnx,property_N=24_3.vnnlib,sat,amls_bounded,UNKNOWN,3.005991,0.9990,7.9954e-01,7.9934e-01,49.8,0.1,49.9,,2026-05-06T21:45:35.993379+00:00
12,0,tllBench_n=2_N=M=16_m=1_instance_1_3.onnx,property_N=16_3.vnnlib,unsat,amls_bounded,UNSAT,3.721679,1.0000,1.0000e-03,3.1125e-30,51.0,15.6,66.5,,2026-05-06T21:46:58.416953+00:00
13,0,tllBench_n=2_N=M=48_m=1_instance_5_1.onnx,property_N=48_1.vnnlib,sat,amls_bounded,UNKNOWN,3.253208,0.9990,7.9098e-02,7.8176e-02,50.3,0.0,50.3,,2026-05-06T21:47:49.521297+00:00
14,0,tllBench_n=2_N=M=16_m=1_instance_1_0.onnx,property_N=16_0.vnnlib,unsat,amls_bounded,UNSAT,3.691376,1.0000,1.0000e-03,3.1125e-30,49.8,11.8,61.5,,2026-05-06T21:48:54.025343+00:00
15,0,tllBench_n=2_N=M=64_m=1_instance_7_0.onnx,property_N=64_0.vnnlib,sat,amls_bounded,UNKNOWN,2.700239,0.9990,7.4112e-01,7.4086e-01,51.2,0.0,51.3,,2026-05-06T21:49:47.082115+00:00
16,0,tllBench_n=2_N=M=8_m=1_instance_0_3.onnx,property_N=8_3.vnnlib,sat,amls_bounded,UNKNOWN,3.578501,1.0000,8.2749e-01,8.2732e-01,49.8,0.0,49.8,,2026-05-06T21:50:37.142536+00:00
17,0,tllBench_n=2_N=M=8_m=1_instance_0_0.onnx,property_N=8_0.vnnlib,unsat,amls_bounded,UNSAT,2.794081,1.0000,1.0000e-03,3.1125e-30,49.7,11.6,61.3,,2026-05-06T21:51:50.182424+00:00
18,0,tllBench_n=2_N=M=64_m=1_instance_7_1.onnx,property_N=64_1.vnnlib,sat,amls_bounded,UNKNOWN,3.645186,1.0000,5.0279e-01,5.0229e-01,51.3,0.0,51.4,,2026-05-06T21:52:43.254917+00:00
19,0,tllBench_n=2_N=M=8_m=1_instance_0_1.onnx,property_N=8_1.vnnlib,unsat,amls_bounded,UNSAT,3.899795,1.0000,1.0000e-03,3.1125e-30,49.7,11.7,61.4,,2026-05-06T21:53:48.411890+00:00
20,0,tllBench_n=2_N=M=40_m=1_instance_4_3.onnx,property_N=40_3.vnnlib,sat,amls_bounded,UNKNOWN,2.337855,1.0000,8.0429e-01,8.0409e-01,50.0,0.0,50.1,,2026-05-06T21:54:38.942738+00:00
21,0,tllBench_n=2_N=M=64_m=1_instance_7_3.onnx,property_N=64_3.vnnlib,sat,amls_bounded,UNKNOWN,3.223469,1.0000,3.4910e-01,3.4845e-01,51.3,0.0,51.4,,2026-05-06T21:55:31.820140+00:00
22,0,tllBench_n=2_N=M=32_m=1_instance_3_0.onnx,property_N=32_0.vnnlib,unsat,amls_bounded,UNSAT,4.389386,1.0000,1.0000e-03,3.1125e-30,49.8,11.8,61.6,,2026-05-06T21:56:38.805877+00:00
23,0,tllBench_n=2_N=M=40_m=1_instance_4_0.onnx,property_N=40_0.vnnlib,unsat,amls_bounded,UNSAT,3.168097,0.9990,1.0000e-03,3.1125e-30,50.0,15.6,65.6,,2026-05-06T21:58:00.596410+00:00
24,0,tllBench_n=2_N=M=24_m=1_instance_2_0.onnx,property_N=24_0.vnnlib,unsat,amls_bounded,UNSAT,3.541845,1.0000,1.0000e-03,3.1125e-30,51.0,11.7,62.7,,2026-05-06T21:59:15.318396+00:00
25,0,tllBench_n=2_N=M=24_m=1_instance_2_2.onnx,property_N=24_2.vnnlib,sat,amls_bounded,UNKNOWN,3.087737,1.0000,1.3012e-02,1.2024e-02,49.8,0.1,49.9,,2026-05-06T22:00:05.487034+00:00
26,0,tllBench_n=2_N=M=40_m=1_instance_4_2.onnx,property_N=40_2.vnnlib,unsat,amls_bounded,UNSAT,3.030940,0.9990,1.0000e-03,3.1125e-30,51.1,15.6,66.7,,2026-05-06T22:01:19.421882+00:00
27,0,tllBench_n=2_N=M=32_m=1_instance_3_2.onnx,property_N=32_2.vnnlib,unsat,amls_bounded,UNSAT,3.464925,1.0000,1.0000e-03,3.1125e-30,50.9,11.5,62.5,,2026-05-06T22:02:23.401231+00:00
28,0,tllBench_n=2_N=M=40_m=1_instance_4_1.onnx,property_N=40_1.vnnlib,sat,amls_bounded,UNKNOWN,3.689781,0.9995,4.8276e-01,4.8224e-01,50.2,0.0,50.2,,2026-05-06T22:03:14.092751+00:00
29,0,tllBench_n=2_N=M=32_m=1_instance_3_1.onnx,property_N=32_1.vnnlib,sat,amls_bounded,UNKNOWN,3.969637,0.9995,1.0000e+00,1.0000e+00,49.9,0.0,49.9,,2026-05-06T22:04:04.380599+00:00
30,0,tllBench_n=2_N=M=8_m=1_instance_0_2.onnx,property_N=8_2.vnnlib,unsat,amls_bounded,UNSAT,3.035492,1.0000,1.0000e-03,3.1125e-30,49.8,11.5,61.4,,2026-05-06T22:05:17.502431+00:00
31,0,tllBench_n=2_N=M=48_m=1_instance_5_2.onnx,property_N=48_2.vnnlib,unsat,amls_bounded,UNSAT,3.026356,1.0000,1.0000e-03,3.1125e-30,50.4,15.6,66.0,,2026-05-06T22:06:27.353580+00:00
